用例ID,业务模块,优先级,用例类型,用例标题,前置条件,测试步骤,预期结果,关联接口
CB_TC_193,收藏模块,P0,安全,未登录取消收藏,未登录,1.调用取消收藏接口,被拦截，返回未登录错误,DELETE /api/items/{id}/favorite
CB_TC_194,收藏模块,P1,功能,收藏列表时间倒序,多条收藏,1.查看收藏顺序,按收藏时间倒序,GET /api/users/me/favorites
CB_TC_195,收藏模块,P2,边界,收藏列表为空,未收藏,1.查看收藏列表,返回空列表，不报错,GET /api/users/me/favorites
CB_TC_196,收藏模块,P1,数据,收藏数据隔离,多用户,1.对比不同用户收藏,仅返回当前用户收藏,GET /api/users/me/favorites
CB_TC_197,收藏模块,P1,数据,收藏数与fav_count一致性,数据库可查询,1.执行聚合校验SQL,收藏记录数与fav_count一致,数据校验
CB_TC_198,收藏模块,P1,功能,收藏标记回显,已收藏,1.查看商品详情/列表,已收藏商品正确标记,GET /api/items/{id}
CB_TC_199,收藏模块,P1,数据,收藏用户存在性,数据库可查询,1.执行FK校验SQL,收藏user_id对应真实用户,数据校验
CB_TC_200,收藏模块,P1,数据,收藏商品存在性,数据库可查询,1.执行FK校验SQL,收藏item_id对应真实商品,数据校验
CB_TC_201,管理后台,P0,功能,管理员获取用户列表,管理员登录,1.调用 /api/admin/users,返回分页用户列表,GET /api/admin/users
CB_TC_202,管理后台,P0,安全,普通用户访问管理接口,普通用户登录,1.调用 /api/admin/users,被拦截，无权限,GET /api/admin/users
CB_TC_203,管理后台,P0,安全,未登录访问管理接口,未登录,1.调用 /api/admin/users,被拦截，返回未登录错误,GET /api/admin/users
CB_TC_204,管理后台,P1,功能,用户列表分页,存在多用户,1.调用 page=1&size=10,按分页返回,GET /api/admin/users
CB_TC_205,管理后台,P1,边界,用户列表分页越界,用户总数有限,1.调用 page 超范围,返回空列表，不报错,GET /api/admin/users
CB_TC_206,管理后台,P0,功能,禁用用户,存在正常用户,1.调用状态修改接口 status=0,用户status=0，提示已禁用,PUT /api/admin/users/{id}/status
CB_TC_207,管理后台,P0,功能,启用用户,存在禁用用户,1.调用状态修改接口 status=1,用户status=1，提示已启用,PUT /api/admin/users/{id}/status
CB_TC_208,管理后台,P0,数据,禁用用户无法登录,用户被禁用,1.用禁用账号登录,登录失败，提示账号已禁用,POST /api/users/login
CB_TC_209,管理后台,P1,数据,禁用后会话失效,用户已禁用且在线,1.被禁用后访问需登录接口,请求被拦截,登录拦截器
CB_TC_210,管理后台,P1,异常,禁用不存在用户,无该用户,1.对不存在id修改状态,操作失败，提示用户不存在,PUT /api/admin/users/{id}/status
CB_TC_211,管理后台,P0,功能,管理端查看商品列表,管理员登录,1.调用 /api/admin/items,返回商品分页列表（含待审核）,GET /api/admin/items
CB_TC_212,管理后台,P1,功能,按状态筛选商品,存在多状态商品,1.调用 status=0,仅返回待审核商品,GET /api/admin/items
CB_TC_213,管理后台,P1,功能,按关键词搜索商品,存在匹配商品,1.调用 keyword=教材,返回匹配商品,GET /api/admin/items
CB_TC_214,管理后台,P0,功能,审核通过商品,商品待审核,1.调用状态修改接口 status=1,商品status=1，公开可见,PUT /api/admin/items/{id}/status
CB_TC_215,管理后台,P0,数据,审核通过后公开可见,商品已审核,1.调用商品列表,商品出现在公开列表,GET /api/items
CB_TC_216,管理后台,P0,功能,管理员下架商品,商品在售,1.调用状态修改接口 status=4,商品status=4下架,PUT /api/admin/items/{id}/status
CB_TC_217,管理后台,P0,数据,下架后公开不可见,商品已下架,1.调用商品列表/详情,下架商品不再出现,GET /api/items
CB_TC_218,管理后台,P1,异常,非法状态值,存在商品,1.提交status=9,操作失败，状态值非法,PUT /api/admin/items/{id}/status
CB_TC_219,管理后台,P1,异常,修改不存在商品状态,无该商品,1.对不存在id修改状态,操作失败，提示商品不存在,PUT /api/admin/items/{id}/status
CB_TC_220,管理后台,P1,数据,商品状态非法流转,商品已售,1.尝试将已售商品改回在售,按业务规则拒绝或明确限制,PUT /api/admin/items/{id}/status
